Component 	 CO2 	 CO2 	 CH4	N2O	SO2	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	NOx	CO	NMVOC	NH3	BMB_AEROS_BC	BMB_AEROS_OC	BC	OC 
Unit 	 Pg_C	Pg_C	Tg	Tg_N	Tg_S	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Mt_N	Mt	Mt	Mt	Tg	Tg	Tg	Tg
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	No data	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60
1757 	 0.00300000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01076274 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 1.01251598 	 -0.52583900 	 -2.27765300 	 0.52583900 	 2.27765300
1758 	 0.00300000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01076274 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 1.01251598 	 -0.52704100 	 -2.28439600 	 0.52704100 	 2.28439600
1759 	 0.00300000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01076274 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 1.01251598 	 -0.52824200 	 -2.29112800 	 0.52824200 	 2.29112800
1760 	 0.00300000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01076274 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 1.01251598 	 -0.52943900 	 -2.29784700 	 0.52943900 	 2.29784700
1761 	 0.00300000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01076274 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 1.01251598 	 -0.53103900 	 -2.30525900 	 0.53103900 	 2.30525900
1762 	 0.00300000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01076274 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 1.01251598 	 -0.53203500 	 -2.31182800 	 0.53203500 	 2.31182800
1763 	 0.00300000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01076274 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 1.01251598 	 -0.53303000 	 -2.31838600 	 0.53303000 	 2.31838600
1764 	 0.00300000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01076274 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 1.01251598 	 -0.53402300 	 -2.32493400 	 0.53402300 	 2.32493400
1765 	 0.00300000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01076274 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 1.01251598 	 -0.53501600 	 -2.33147200 	 0.53501600 	 2.33147200
1766 	 0.00300000 	 0.00533830 	 1.96326190 	 0.00518812 	 0.09908041 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01075207 	 0.00000000 	 0.10937648 	 9.05022130 	 1.59687470 	 1.03727998 	 -0.42980200 	 -1.77316404 	 0.53680000 	 2.33908400
