Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6 
2173	1941.10994466	1719.61957804	411.430981954	10.239375035	85.941479365	10.0236075719	6.41757996877	7.35384003321	4.68796340624	0.206965104987	0.0	0.00030157725511	0.253377074997	0.0	0.0138310995729	0.000338607082085	0.43260499835	0.00187842000742	646.706970215	218.193148295	646.722050985	6.52904156844	16.2449000676	18.4993007978	0.0	0.184301992257	7.60747996966	0.553287992875	151.403001149	66.1169045766
2174	1948.70993042	1711.81959025	411.548985799	10.0054755211	84.8746802012	9.8876273632	6.37513999144	7.33740003904	4.68368335565	0.197997100651	0.0	0.000270332132156	0.250035069883	0.0	0.013477599714	0.000316099074553	0.425150997937	0.00180119001501	639.588984172	215.366162618	641.67906189	6.45843156179	16.1523998578	18.2516009013	0.0	0.181960991273	7.6109000047	0.55349000295	151.614004771	66.3176040649
2175	1956.20993042	1704.04959106	411.662984212	9.77673617999	83.8205808004	9.75346748034	6.33297002316	7.32097995281	4.67943326632	0.189414097617	0.0	0.000242290009434	0.246706067274	0.0	0.0131407996329	0.000295083070038	0.417822996775	0.00172712000009	632.47597758	212.550178528	636.598068237	6.38794155916	16.0604001681	18.0049010913	0.0	0.179629988968	7.61425991853	0.553687001268	151.822003682	66.5154031118
2176	1963.59994507	1696.29955037	411.774981181	9.55304670334	82.7791805267	9.62106712659	6.29106001059	7.30460000038	4.67521325747	0.181202092518	0.0	0.000217127907187	0.243390068412	0.0	0.0128193996691	0.000275461071093	0.410617001355	0.00165608000437	625.369969686	209.747193654	631.482065837	6.31757156054	15.9687001705	17.7592010498	0.0	0.177306992312	7.61756996314	0.553878997763	152.027005514	66.7103029887
2177	1970.87993368	1688.56958008	411.882985433	9.33431696892	81.7502816518	9.490407149	6.24940001965	7.2882600228	4.67102324963	0.173344089339	0.0	0.000194552814113	0.240085067848	0.0	0.0125100996811	0.000257140057026	0.403534002602	0.00158794000163	618.270965576	206.955209096	626.33005778	6.24735144774	15.8774998983	17.5143008232	0.0	0.17499399061	7.62083001932	0.554065003991	152.230004628	66.9023043315
2178	1978.04993693	1680.85957845	411.98798116	9.12043770154	80.7336807251	9.36146704356	6.208009998	7.27194007238	4.66686312358	0.165824085474	0.0	0.00017430073179	0.236792066445	0.0	0.0122145996429	0.000240035055564	0.396568998694	0.00152257998707	611.179967244	204.174226125	621.145060221	6.17726147175	15.7866000334	17.2703007062	0.0	0.172689994176	7.62402999401	0.55424699684	152.429003398	67.0914039612
2179	1985.10995483	1673.16959635	412.089975993	8.91130797068	79.7293809255	9.23422694206	6.16688005129	7.25564996401	4.66273319721	0.158629078418	0.0	0.000156135654834	0.233512063821	0.0	0.0119317997402	0.000224065051346	0.389723000427	0.00145988999672	604.098973592	201.404238383	615.927062988	6.10731156667	15.6961999734	17.0272008578	0.0	0.170395990213	7.62716992696	0.554422999422	152.626005809	67.2775039673
2180	1992.06994629	1665.49957275	412.188987732	8.70682843526	78.7370808919	9.10866681735	6.12600000699	7.23940006892	4.6586231788	0.151744075119	0.0	0.000139845589729	0.230243064463	0.0	0.0116585996778	0.000209155048651	0.382991999388	0.00139977001042	597.025975545	198.645256042	610.678059896	6.03750153383	15.6062001387	16.7849006653	0.0	0.168109991898	7.63026996454	0.554595003525	152.819999695	67.4608033498
2181	1998.92994181	1657.85958862	412.284978231	8.50690905253	77.7568829854	8.98477673531	6.08538003763	7.22317004204	4.65455317497	0.145157075177	0.0	0.000125238527592	0.226986063023	0.0	0.0113943996063	0.000195235043066	0.376374003788	0.00134211000598	589.962977091	195.896266937	605.400054932	5.96785140038	15.5164999962	16.5435007413	0.0	0.165833991021	7.63329998652	0.554761995872	153.012002309	67.6411037445
2182	2005.66994222	1650.21958415	412.37798055	8.31143967311	76.7883822123	8.86250678698	6.0450100104	7.20697991053	4.65050311883	0.138854071498	0.0	0.000112142472669	0.223740061124	0.0	0.0111408996551	0.000182239042867	0.369868998726	0.00128681001176	582.910970052	193.159286499	600.093068441	5.89834141731	15.4272999763	16.3029009501	0.0	0.163565993309	7.63628999392	0.554923996329	153.200004578	67.8185036977
2183	2012.29993693	1642.60956828	412.467979431	8.12032993635	75.831682841	8.74186666807	6.00490001837	7.19082009792	4.64648314317	0.132824068268	0.0	5.15639627944e-05	0.220505062491	0.0	0.0108973997024	0.000170107040807	0.363473999004	0.00123378000959	575.869974772	190.431294759	594.759053548	5.82899137338	15.3385000229	16.0631008148	0.0	0.161306993415	7.63921991984	0.555080999931	153.38600413	67.9930038452
2184	2018.82994588	1635.01958211	412.554985046	7.9335004886	74.8864828746	8.62282657623	5.96504004796	7.17469000816	4.64248315493	0.127054066087	0.0	0.0	0.217279061675	0.0	0.0106609995322	0.000158780037358	0.357188001275	0.00118291000642	568.839975993	187.714312236	589.399052938	5.75980134805	15.2500998974	15.8241007328	0.0	0.159055992961	7.64208996296	0.555233001709	153.569001516	68.1646029154
2185	2025.24994914	1627.43958537	412.638979594	7.75084090233	73.9527816772	8.50536640485	5.92542997996	7.15859003862	4.63851300875	0.121533062309	0.0	0.0	0.214064061642	0.0	0.0104333996618	0.000148206033676	0.35100800544	0.00113414000953	561.822977702	185.006322225	584.013051351	5.69076132774	15.1622000535	15.5859006246	0.0	0.15681399405	7.64490993818	0.555380001664	153.750002543	68.3333028158
2186	2031.55993652	1619.87957764	412.720982869	7.57228136063	73.0303827922	8.38945627213	5.88606997331	7.14252003034	4.63456304868	0.11625206098	0.0	0.0	0.210860057424	0.0	0.0102141996225	0.000138335033019	0.34493299822	0.00108736000645	554.816986084	182.309341431	578.603047689	5.62188132604	15.0746000608	15.3484007517	0.0	0.154578991234	7.64768004417	0.555522998174	153.927000682	68.4990030924
