Year,USA (New York),Africa_Eastern (Nairobi),Africa_Northern (Cairo),Africa_Southern (Johannesburg),Africa_Western (Lagos),Australia_NZ (Sydney),Brazil (São Paulo),Canada (Toronto),Central_America_Caribbean (Mexico City),Central_Asia (Almaty),China (Shanghai),EU_12 (Warsaw),EU_15 (Paris),Europe_Eastern (Kiev),Europe_Non_EU (Belgrade),European_Free_Trade (Oslo),India (Mumbai),Indonesia (Jakarta),Japan (Tokyo),Mexico (Guadalajara),Middle_East (Riyadh),Pakistan (Karachi),Russia (Moscow),South_Africa (Cape Town),South_America_Northern (Bogotá),South_America_Southern (Buenos Aires),South_Asia (Dhaka),South_Korea (Seoul),Southeast_Asia (Bangkok),Taiwan (Taipei),Argentina (Córdoba),Colombia (Medellín)
2020,449.9840291583789,646.6752839691588,1523.1600575821267,459.9722512671966,3025.391010143226,243.21102189984887,713.5831937028995,329.22742843794754,0.0,0.0,1144.8073266447534,41.2163592240857,52.10312790825644,99.10810358434921,315.60832385767844,0.0,2925.866698663771,3385.118338299584,943.2557836862712,507.43109060506475,2405.5525706071644,2772.183886394355,0.0,256.8122277623606,343.5596290817433,1074.0487097075197,3060.075978190785,476.85767268147004,2827.0571240630698,1611.053632995545,1301.1756982348045,878.9547535555209
2021,515.3508357781924,660.1188283643323,1453.039446416726,421.63720369310147,3060.728353738265,226.61724277268624,734.1820715876001,367.9434265427111,0.0,0.0,1157.1198077164875,122.86591967876839,155.90665650179955,215.74572412960245,420.6822825851348,0.0,3014.667867813444,3422.405898527315,933.020358223992,524.5891750050982,2473.598144799872,2891.972295138002,45.39511943628781,267.1621064380001,339.1264857159734,999.6182245275525,3089.007392138764,520.6216084141141,2865.0665272506717,1666.6689885037138,1232.1158354206077,915.454189079989
2022,513.392486901819,657.3754394979752,1501.6127669150617,476.1022214559288,3037.6543266680565,226.31882227630416,695.868318332401,348.5035828347238,0.0,0.0,1150.8949581770253,76.79342640150318,82.94942016100141,160.32021431431565,344.25625204512266,0.0,2964.7313503606993,3389.003288727638,953.8967390913162,533.2524120984128,2495.30196926122,2831.502304189581,0.0,257.6631572365035,329.6391436300234,1012.3515618806554,2989.437487951407,472.6180210097997,2798.7164182593606,1603.5018359429596,1271.1296245688109,876.2455822159517
2023,512.9039283964858,679.2419944357323,1596.5000981305143,450.3705074869749,3088.9602937117907,234.10990342864233,732.1185284258853,362.24092413595173,0.0,13.271406696514191,1162.8090570893328,64.07617811286727,145.50900209460056,75.58146993387452,305.8991493518481,0.0,3033.566583828949,3437.2901022055153,969.0635327235099,542.9228337593906,2560.649227772119,2848.6325928070205,0.0,277.2679018139468,358.25345071654186,1049.3316114944448,3083.09536649539,491.47128849445767,2884.2181864776758,1638.4980256209235,1304.0694254207797,927.6762705063868
2024,473.8878383828758,674.3732890196607,1576.331723366683,484.22391878656236,3097.0003266595304,234.8137456160984,719.5603092964371,375.0224694341454,0.0,21.178981485498632,1157.6852743770598,53.48911268685236,113.26079430033748,108.05395823500191,434.9043043758452,0.0,3048.505330729566,3445.1672909236127,965.448029577425,553.8674558643664,2563.7565860202367,2857.0827123771032,0.0,273.111757525969,383.3954685018879,1071.906153185067,3047.5318298445054,492.25327439806,2908.6107707853366,1652.7276826731693,1293.7051331030987,934.120350028956
2025,419.95929601041894,716.5973388261033,1536.58159929931,504.7168013101218,3130.989667255386,216.9615877389559,724.1180567976664,324.6862354568597,0.0,0.0,1124.487383683814,61.1984045394546,131.23590500765792,198.9489693870356,449.78666702083996,0.0,3060.553143913871,3470.430866451067,935.9689309041274,565.8479998845868,2574.490993934308,2930.389016665124,16.826219809223222,274.16563448891264,417.35033909967706,1021.4055066329321,3173.322312543819,504.4354299994757,2878.397248888193,1638.0429052506697,1272.5053328576,980.22042929809
2026,415.3297633596914,711.9311818428512,1545.3923805214024,477.8144634432495,3121.270759750673,226.60144325462278,746.141899115256,267.5522702703696,0.0,0.0,1190.1586191926274,70.78054416961534,117.00789826590798,204.6229200985889,411.7942166436081,0.0,3072.7966038656646,3478.6474707800608,984.9541427169631,551.7154186020681,2586.418975180114,2929.073246233926,0.0,277.2142418090379,413.4217599627093,1070.3417147075083,3140.207842649506,530.3627852444251,2916.3623853998934,1671.9625124683816,1321.390932791641,962.2540771500006
2027,382.52373241668863,701.8588633821452,1575.1199529432781,483.01163893556355,3127.3827112264116,237.58906152583165,727.6733239567171,227.02127481149736,0.0,0.0,1150.9973918423054,86.76834365954639,152.11409199962537,199.04118707332202,390.1233128155206,0.0,3061.1597947512732,3463.424677495832,931.9646882396326,582.6146538353331,2592.965733749762,2911.094587199903,0.0,300.71169750434,399.24531856770585,1069.6368835621424,3082.208648083193,498.79578724820067,2898.0135597473486,1613.7272031534412,1327.6108467719207,961.7395857729827
2028,444.3626656576228,711.4040101568819,1572.3249450585156,498.6645045132562,3156.0855836045876,204.6452551922387,745.7630795534722,321.3320143493869,0.0,0.0,1148.8415461225118,60.12420274387554,72.71513709028702,124.32068909013701,357.960770307676,0.0,3099.9226405223058,3494.6769025303042,968.9119813022129,605.2242972271205,2534.989701629272,2977.8523470759114,0.0,275.8275317659931,429.6449917887447,1132.4978949473434,3199.053884281607,514.0501348466238,2876.2832350579697,1751.2494479711152,1383.6480058711397,981.7537285843097
2029,562.2128978881625,731.0907584561165,1644.6261900783766,501.84436500600464,3157.611958900263,236.69429681973537,769.1094374052819,400.0489776444101,0.0,0.0,1208.1105912251364,83.18924166837505,178.86912067878274,189.55633175218838,470.4420583812881,0.0,3103.6844646257755,3499.5819672577586,992.4891871183942,608.0903008017926,2625.15444467707,2975.0783989832366,0.0,290.5013206071068,436.5483598987945,1074.9641325263951,3123.612610136903,524.5291120670329,2912.1825569317884,1693.9721160561646,1334.8479768631971,994.1183620455754
