Year,USA (New York),Africa_Eastern (Nairobi),Africa_Northern (Cairo),Africa_Southern (Johannesburg),Africa_Western (Lagos),Australia_NZ (Sydney),Brazil (São Paulo),Canada (Toronto),Central_America_Caribbean (Mexico City),Central_Asia (Almaty),China (Shanghai),EU_12 (Warsaw),EU_15 (Paris),Europe_Eastern (Kiev),Europe_Non_EU (Belgrade),European_Free_Trade (Oslo),India (Mumbai),Indonesia (Jakarta),Japan (Tokyo),Mexico (Guadalajara),Middle_East (Riyadh),Pakistan (Karachi),Russia (Moscow),South_Africa (Cape Town),South_America_Northern (Bogotá),South_America_Southern (Buenos Aires),South_Asia (Dhaka),South_Korea (Seoul),Southeast_Asia (Bangkok),Taiwan (Taipei),Argentina (Córdoba),Colombia (Medellín)
2020,2532.355574042092,14.899298375816326,538.6800295211845,784.2366126412365,0.0,1117.0684059870794,241.5974794782306,3726.141591877907,1188.5195868768562,4409.75569521435,1686.8127257351118,3062.943725280615,2146.844795791718,3395.0064326987986,2143.1740113669002,4984.930660422293,0.0,0.0,1339.1989281406081,239.43094205752948,434.1100655131303,0.0,4726.07092173555,715.0595180005226,0.0,631.6821878125983,0.0,3090.3863276054535,0.0,225.4057263523221,635.7758356534341,0.0
2021,2499.3938132736607,9.129313945905796,519.4516711381845,781.8860759651717,0.0,1088.9975985399776,213.8739114757826,3705.196137715733,1199.3055178833395,4315.051678010023,1611.2466517477894,3060.3122223099804,2060.9101746170068,3458.2280995677233,2222.954817690012,4814.079432767712,0.0,0.0,1267.6870399690463,231.74727094270514,362.3048759370856,0.0,4756.770362733091,756.9095357743821,0.0,635.56324186939,0.0,3041.463625005336,0.0,187.6058855095927,626.2458083118263,0.0
2022,2565.356057052868,6.735965828860084,556.4490081897557,809.1141415174357,0.0,1119.7647712555572,219.70868861883685,3780.5834186685747,1244.2164256464432,4400.483930430756,1630.1353565981226,3105.504968626404,2077.6500616201074,3493.137025905308,2267.5468085979237,4958.355349312883,0.0,0.0,1270.3839278523192,199.9002083220824,417.41661135601,0.0,4877.241544048464,766.0220285966584,0.0,620.127603751682,0.0,3050.259751698092,0.0,211.6750584144737,604.5003400085106,0.0
2023,2637.969322575265,11.875797161828652,519.7633943589154,792.0917540560848,0.0,1101.1693087148528,229.13123838630366,3805.04158874744,1194.968532637866,4323.232388223671,1674.6529248383658,2963.4818972589233,2061.3723852256594,3197.505395498763,2085.53000187914,5029.486509447895,0.0,0.0,1317.862419550251,219.62921169395273,424.35709004955805,0.0,4626.231332335428,735.1087522627014,0.0,607.4436573057304,0.0,3068.986548051781,0.0,207.90810439994297,583.0588928906787,0.0
2024,2534.4516760546167,9.156849324953164,496.2284410953831,796.5124711501358,0.0,1070.8924133061219,223.42217709155693,3681.1329226154753,1123.3775683137205,4398.807162832138,1628.0977172110106,2995.5987264802015,2080.6904350039413,3258.893585628163,2106.0398028907725,4879.565323157463,0.0,0.0,1266.4409211311847,209.64941958322618,362.0051444888488,0.0,4630.318834781609,735.1834190430309,0.0,628.5858593303404,0.0,2960.1408074563287,0.0,206.35320044300127,629.0316703888079,0.0
2025,2607.231459982938,9.009398533120363,528.8535162760252,774.5211888738006,0.0,1107.9432332464257,203.3780856643989,3797.1410650758085,1130.896072462084,4221.704579414044,1593.9831431932623,3084.9730736159604,2036.5882794326053,3392.9011954474404,2176.2990798269107,4873.497139814036,0.0,0.0,1275.4226225387986,200.88208356286935,403.7433704102357,0.0,4774.09226790437,731.7250262087816,3.129047083217336,614.2637804878989,0.0,3029.690371753735,0.0,225.10916740523572,589.235672635271,0.0
2026,2548.3406557150483,0.0,485.13183490694837,762.3942816191635,0.0,1094.7371450608446,200.77331857206462,3747.342149014721,1115.5951330498337,4225.495264739565,1594.9909794452694,3084.4699895451517,2042.2553741744066,3282.2140100246643,2158.881286632616,5018.260785146409,0.0,0.0,1285.8334633156207,188.16237846411997,346.4740066948523,0.0,4638.738384424715,736.3416300469544,0.0,612.2415352194402,0.0,2967.12556126202,0.0,188.952153233353,592.3336453033695,0.0
2027,2461.4856772917174,3.230457396715355,532.1994175987875,757.3763134570518,0.0,1121.3276945659952,220.5536294196779,3673.196539619069,1129.6410089338094,4228.300402440567,1592.9517559410554,3165.718160991407,2101.6784714951177,3507.0315231751597,2277.7283530018476,4978.6149880704925,0.0,0.0,1302.468243180923,204.94203484248757,396.67649841229337,0.0,4815.024661454047,762.3811982565741,0.0,613.7380480478208,0.0,3055.0968556449398,0.0,193.69775649718827,590.8196258552514,0.0
2028,2444.719129400846,0.0,496.350695176938,699.989757923984,0.0,1079.0371850914864,180.7878634030182,3618.6636438325436,1066.130001900049,4213.895177230077,1600.7263097554746,3204.277376266317,2067.224097006969,3511.8707926077473,2228.889604750693,4981.244483252431,0.0,0.0,1307.7393111372144,168.3316369788854,367.28260050132684,0.0,4884.934401569392,740.4315540229071,0.0,648.5857645782285,0.0,3044.9573530793114,0.0,163.80236054653494,649.505315942984,0.0
2029,2473.0399805700135,0.0,517.640023579427,723.7141543844475,0.0,1075.8503413011003,191.94886257408353,3652.292694617745,1053.279266328382,4227.9037092574135,1547.6749481731442,2988.9028363409493,1928.7285325806315,3311.062469482084,2155.440378219807,4889.47727167106,0.0,0.0,1234.7560266670368,187.6879895907849,349.6107891181436,0.0,4759.287147617784,735.1711367643833,0.0,625.319261961564,0.0,2933.1122033188176,0.0,181.33939363697507,606.265533268413,0.0
2030,2453.090975933075,0.0,512.9046349204359,731.0894181795982,0.0,1069.183024684996,198.07906690137614,3606.102137177418,1080.4480504805497,4182.998381052426,1532.0371300027332,3042.5359534324325,2024.507952332608,3474.4615822184974,2317.15522320777,4784.6700870941095,0.0,0.0,1232.1590165557184,185.74892065371085,361.75967686048364,0.0,4813.93677569606,736.2510992627125,0.0,605.7299560826008,0.0,2941.3658355661496,0.0,169.64953227162087,613.2581915032472,0.0
2031,2427.499746626194,0.0,469.0707718140076,701.6082915243836,0.0,1056.0408596112388,189.39687789301158,3630.442551095004,1051.8712597191256,4252.62377220552,1534.1563360842592,3082.6347728763435,2072.9285758102565,3291.4899755707893,2200.1362940710983,4864.279776855195,0.0,0.0,1197.2652305955814,187.14188426514036,333.9744496049113,0.0,4626.75293882663,728.8115544792356,0.0,628.4740205114666,0.0,2938.385082621078,0.0,173.02502878460186,624.6336152482304,0.0
2032,2408.6012156845836,0.0,429.48243765029747,727.2268508686836,0.0,1061.272092154137,184.8636078381575,3615.208406420264,1039.4630061352677,4082.340310605675,1549.780329081246,3006.731972393786,2021.4907111089387,3206.3156503245195,2190.356674838796,4741.544247324886,0.0,0.0,1196.2882557576593,160.16596394463244,346.094095194064,0.0,4438.991609032568,715.7258976499966,0.0,619.2831600275925,0.0,2928.3332976970655,0.0,170.53292776079448,593.8424494013149,0.0
2033,2362.6935495571397,0.0,511.72368744377155,687.2820041120434,0.0,1001.8622504534843,147.82201161061903,3553.1349505779003,1044.68112274095,4213.571574476228,1528.8877679308273,2883.0274572470544,1956.8427177528838,3144.5490867309377,2129.0802600431557,4702.341351830055,0.0,0.0,1181.110401174395,168.47809191958606,384.05353736422256,0.0,4344.729130134006,716.6254155129216,0.0,566.1809251226107,0.0,2877.3286943519956,0.0,164.82275748492535,550.999130215804,0.0
2034,2394.62094964914,0.0,459.70270222783273,715.9731981847457,0.0,1061.3793659029,168.61088191778933,3560.594281703538,997.7919104373234,4100.119227989318,1494.143689773347,2967.9863113936085,1923.9071528649715,3300.934874226071,2195.8833623865044,4668.842350122401,0.0,0.0,1230.9942929787387,153.96497484843988,314.4087877914166,0.0,4496.57857586212,709.1346881146093,0.0,587.3085467040673,0.0,2915.2237276157757,0.0,170.06658291125035,586.4540413651357,0.0
2035,2345.90366758489,0.0,471.31736320509066,718.3429063676281,0.0,1010.477043089059,175.73579948924188,3563.414565671948,990.764519817664,4075.4365484600016,1406.5910519301285,2979.4248325206377,2052.348941228742,3241.013388474555,2140.7357693609474,4864.654879792268,0.0,0.0,1098.9905935060176,146.39569899363866,320.4422551814841,0.0,4483.513827981311,707.9595796002152,0.0,619.8561434208608,0.0,2825.9596434671457,0.0,149.37633770026176,606.4839806987474,0.0
2036,2334.696787810155,0.0,456.7666895305445,686.8567133556485,0.0,1021.4976310661241,155.25539479308424,3476.8467281551957,953.0546183242474,4061.8995879121703,1532.3167947448737,2968.454363057613,1999.630681196871,3333.620651630874,2105.011106192278,4841.887479142306,0.0,0.0,1163.0345341853504,151.1308756852281,368.2300419609874,0.0,4577.1611606522765,694.4331168517685,0.0,617.2894971767569,0.0,2849.8040090358236,0.0,157.72169473577623,596.0755764469045,0.0
2037,2268.0833931419156,0.0,419.0803384868828,686.6066653103762,0.0,1036.7004494701264,171.16039599301945,3459.0708377006886,976.5773212616358,4159.928798500607,1511.2459066980744,3040.5769513583305,1966.923925164093,3276.0397641070444,2135.424535330597,4812.747456583894,0.0,0.0,1174.3936202227703,149.75378374030694,316.91359602557117,0.0,4510.582202825244,711.6278998341376,0.0,560.5507919347059,0.0,2830.794857224095,0.0,149.56039667849927,553.4899844236636,0.0
